year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2019,services,professional services,architectural and engineering services,52,32.9,19.9,24.8,7,0.3,0.5,1.3
2019,services,professional services,other professional services,56.1,33.5,22.5,19.1,17.3,1.2,1.2,1.2
2019,services,administrative and support services,security and investigation,78.8,63.5,26.3,12.8,-,-,-,-
2019,services,administrative and support services,cleaning and landscaping,59,50.9,11.1,8.1,2,-,1.2,0.2
2019,services,administrative and support services,other administrative and support services,50.9,30.6,21.6,18.4,12.7,2.3,-,2.3
2019,services,"community, social and personal services",education,79.2,76.1,13.5,31.3,9.7,1.9,3.5,3.5
2019,services,"community, social and personal services",health and social services,85.9,80.6,10,39.2,1.9,0.6,0.9,4.7
2019,services,"community, social and personal services","other community, social and personal services",71.4,57.6,22.1,17.9,6.7,1,4,2.3
2020,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",86.7,40.9,49.2,58.5,53.2,11.6,18.6,14.6
2020,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,75.1,27.6,40,41.1,47,8.6,15.1,8.1
2020,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",74.7,25.9,35.8,27.8,50.6,3.7,11.7,18.5
2020,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,72.9,28.2,34.6,38.3,44.1,14.5,15.5,8.8
2020,manufacturing,electronic and computer products,electronic and computer products,81.7,26.8,52.3,56.2,51.6,10.5,11.8,4.6
2020,manufacturing,transport equipment,transport equipment,73.6,33.4,35.8,33.8,41,13.1,15.5,13.7
2020,manufacturing,other manufacturing industries,other manufacturing industries,77.7,30.9,32.5,51.7,42.3,12.5,7.5,7.5
2020,construction,construction,construction,65.2,23.7,33.6,34.2,43.3,13.1,18.6,10.7
2020,services,wholesale and retail trade,wholesale trade,77.6,44.7,38.7,47,39.4,6.5,13.3,5.7
2020,services,wholesale and retail trade,retail trade,92.2,73.7,46.9,52.6,38.9,10.4,17.8,13.7
2020,services,transportation and storage,land transport and supporting services,59.2,36.1,25.2,35.4,38.1,6.8,8.8,7.5
2020,services,transportation and storage,water transport and supporting services,87.6,38.4,33,58.4,54.1,5.4,9.2,9.7
2020,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2020,services,transportation and storage,other transport and storage services,72.5,25.8,37.5,51.9,45.3,3.3,13.6,8.6
2020,services,accommodation and food services,accommodation,91.9,57.3,49.2,71.8,53.2,-,13.7,10.5
2020,services,accommodation and food services,food and beverage services,90.1,72.2,55.5,52,38.6,11.7,18.6,14.4
2020,services,information and communications,"telecommunications, broadcasting and publishing",89.9,43.2,55.4,54.7,74.8,2.2,7.2,5.8
2020,services,information and communications,it and other information services,85.1,37,55.4,32.6,76.6,0.3,9.2,7.9
2020,services,financial and insurance services,financial services,73.5,36.9,36.6,41.3,56.1,1.3,6,7.3
2020,services,financial and insurance services,insurance services,97.7,58.1,54.7,68.6,72.1,-,9.3,11.6
2020,services,real estate services,real estate services,83.2,52,34.7,64.9,49,10.9,14.9,5.9
2020,services,professional services,"legal, accounting and management services",91.2,49.3,53.4,62.2,72.2,7.1,10.5,15.1
2020,services,professional services,architectural and engineering services,84.3,41.5,38.3,59.3,62.7,11.5,18.4,10
2020,services,professional services,other professional services,85.1,29.9,50.7,44,64.9,10.4,14.2,9.7
2020,services,administrative and support services,security and investigation,85.9,73,32.5,36.2,38,12.3,19,10.4
2020,services,administrative and support services,cleaning and landscaping,85,70.8,33.3,27,28.3,7.3,11.8,13.3
2020,services,administrative and support services,other administrative and support services,82.7,41.2,41.4,44.6,53.5,7.7,14.2,6.5
2020,services,"community, social and personal services",education,86,71.5,32.6,38.8,44.6,13.2,6.6,7
2020,services,"community, social and personal services",health and social services,86.9,71,37.9,56.7,38.9,4.5,17.5,9.9
2020,services,"community, social and personal services","other community, social and personal services",76.8,58.4,52.6,43.3,41.6,15.1,16.5,13.3
2021,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",95.5,50,57.5,40.9,55.5,-,21.1,7.1
2021,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,92.9,29.6,45,44.4,49.1,3,17.8,3
2021,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",87.8,40.2,43.9,52.4,68.9,1.2,18.3,10.4
2021,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,89.8,34.6,47,40.9,58.6,1.1,15.9,7.4
2021,manufacturing,electronic and computer products,electronic and computer products,87,30.6,50,57.4,70.4,0.9,4.6,8.3
2021,manufacturing,transport equipment,transport equipment,93.3,32.1,48.7,54,60.7,1.5,21.2,8.8
2021,manufacturing,other manufacturing industries,other manufacturing industries,84.5,34.3,46,38.9,48.1,0.4,14.2,5
2021,construction,construction,construction,84.4,32.1,40.3,37.5,50.1,2.4,14.1,6.5
2021,services,wholesale and retail trade,wholesale trade,92.6,40.3,46.8,53.2,62.8,1.2,14.6,6.2
2021,services,wholesale and retail trade,retail trade,92.7,71.2,49.7,58.6,56.1,1.1,17.2,6.2
2021,services,transportation and storage,land transport and supporting services,86.8,50.8,46.6,63,56.1,-,17.5,9
2021,services,transportation and storage,water transport and supporting services,91.1,28.6,46.4,73.2,58.9,3,16.7,4.2
2021,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2021,services,transportation and storage,other transport and storage services,96.7,38.8,47,50.3,66,1.5,20.7,3.3
2021,services,accommodation and food services,accommodation,98,75.5,59.2,65.3,52,-,11.2,6.1
2021,services,accommodation and food services,food and beverage services,91.9,72.7,57.5,44.8,36.8,4.5,21.2,10.5
2021,services,information and communications,"telecommunications, broadcasting and publishing",93,48.8,62.8,62,82.9,2.3,6.2,7.8
2021,services,information and communications,it and other information services,92.3,46,67.7,50.5,71.6,5.3,9.1,10.9
2021,services,financial and insurance services,financial services,96.8,53.7,50.8,69.3,77.5,1.1,9.3,6.9
2021,services,financial and insurance services,insurance services,100,73.3,59.3,77.9,74.4,3.5,-,12.8
2021,services,real estate services,real estate services,85.6,57.4,45.1,44.1,46.7,-,14.9,7.2
2021,services,professional services,"legal, accounting and management services",94,46.9,58.9,65.1,70.7,1.6,14.5,8.1
2021,services,professional services,architectural and engineering services,87,38.9,45,50.5,64.6,-,5.3,11.4
2021,services,professional services,other professional services,88.1,38.5,44.8,51.7,57.3,-,23.1,4.9
2021,services,administrative and support services,security and investigation,89.8,73.5,36.1,27.9,49,3.4,24.5,6.8
2021,services,administrative and support services,cleaning and landscaping,86.5,68,42.3,34,41.4,0.3,9.1,5.2
2021,services,administrative and support services,other administrative and support services,91.2,49.2,57.7,49.2,71.2,3.1,17.6,6.6
2021,services,"community, social and personal services",education,99.1,71.6,48.6,56.8,54.1,-,9,8.6
2021,services,"community, social and personal services",health and social services,92.5,73.7,52.7,58.3,50.5,0.9,13.2,6.6
2021,services,"community, social and personal services","other community, social and personal services",94.3,75.8,60.4,55.2,56.8,6.6,22.5,15.5
2022,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",68,41.1,34.2,32.6,28.5,9.7,14.7,9.7
2022,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,73.8,42.7,27.4,42.1,31.7,12.2,15.2,15.9
2022,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",73.1,23.7,32.7,25,39.1,3.8,8.3,15.4
2022,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,60.5,25,28.8,24.4,27.8,6.5,14.1,15.3
2022,manufacturing,electronic and computer products,electronic and computer products,75.4,25.4,38.8,52.2,44.8,-,11.2,15.7
