freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C-E,NAC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.63 	: 	: 
A,C-E,NAC,IT	: 	: 	: 	: 	: 	18.64 	19.04 	19.71 	: 	: 	: 	: 	: 	: 
A,C-E,NAC,LT	: 	7.00 	8.30 	9.15 	9.93 	9.89 	10.08 	10.29 	10.63 	10.69 	11.87 	13.90 	16.93 	: 
A,C-E,NAC,LU	: 	21.78 	22.10 	22.43 	22.89 	23.11 	23.46 	24.46 	25.32 	28.44 	29.51 	30.43 	31.32 	32.17 
A,C-E,NAC,LV	: 	: 	1.11 	1.18 	1.23 	1.26 	1.31 	1.42 	1.54 	1.70 	1.94 	2.37 	3.08 	3.75 
A,C-E,NAC,MT	: 	: 	: 	: 	: 	: 	: 	6.91 	7.61 	7.89 	8.26 	9.20 	9.31 	: 
A,C-E,NAC,NL	: 	22.70 	20.95 	21.99 	22.94 	23.90 	25.11 	26.42 	27.68 	28.68 	29.04 	: 	: 	: 
A,C-E,NAC,PL	: 	10.39 	12.69 	14.64 	16.64 	17.55 	19.04 	19.86 	20.23 	21.06 	21.96 	23.19 	25.30 	: 
A,C-E,NAC,PT	: 	6.08 	6.36 	6.66 	6.96 	7.17 	7.50 	7.90 	8.30 	8.70 	9.00 	9.21 	9.44 	9.80 
A,C-E,NAC,RO	: 	: 	: 	: 	: 	2.92 	4.20 	5.31 	6.06 	7.25 	8.60 	9.63 	11.18 	: 
A,C-E,NAC,SE	185.46 	199.74 	209.24 	218.41 	224.39 	240.23 	251.37 	260.22 	272.84 	293.91 	303.05 	305.58 	321.29 	: 
A,C-E,NAC,SI	4.55 	5.16 	5.88 	6.57 	7.21 	7.26 	8.10 	8.89 	9.59 	9.80 	10.16 	10.52 	11.04 	: 
A,C-E,NAC,SK	: 	2.98 	3.24 	3.79 	3.92 	4.30 	4.56 	5.12 	5.59 	5.96 	6.01 	6.53 	7.22 	: 
A,C-E,NAC,UK	: 	12.04 	12.43 	13.28 	13.93 	14.51 	15.19 	15.89 	16.30 	16.96 	15.86 	16.39 	16.77 	: 
A,C-E,PPS,AT	: 	21.35 	21.83 	22.42 	23.22 	24.14 	24.23 	25.44 	26.12 	26.62 	27.36 	27.80 	28.19 	28.18 
A,C-E,PPS,BE	: 	: 	: 	: 	: 	28.55 	29.65 	31.60 	30.12 	31.05 	31.59 	32.11 	33.96 	33.93 
A,C-E,PPS,BG	: 	: 	: 	3.09 e	3.36 e	3.50 	3.45 	3.53 	3.67 	3.75 	3.82 	3.86 	4.32 	: 
A,C-E,PPS,CH	: 	: 	: 	: 	: 	21.22 	: 	23.26 	: 	23.33 	: 	24.82 	: 	26.61 
A,C-E,PPS,CY	: 	8.17 	8.76 	9.05 	9.18 	9.92 	10.12 	10.73 	11.13 	11.68 	12.28 	12.46 	13.28 	14.01 
A,C-E,PPS,CZ	5.64 	6.21 	6.50 	6.75 	7.11 	7.70 	8.89 	9.12 	9.74 	10.13 	10.73 	11.26 	12.17 	: 
A,C-E,PPS,DE	: 	21.98 	23.36 	23.91 	24.70 	26.19 	27.02 	27.67 	28.45 	28.92 	29.50 	30.89 	31.56 	: 
A,C-E,PPS,DK	: 	: 	17.35 	18.49 	19.01 	19.83 	20.20 	21.31 	21.08 	21.60 	22.33 	23.66 	25.14 	: 
A,C-E,PPS,EE	: 	3.78 	4.30 	4.55 	4.53 	4.96 	5.13 	5.68 	6.06 	6.39 	7.02 	7.71 	8.71 	9.42 
A,C-E,PPS,EL	10.58 	10.87 	11.35 	11.66 	12.36 	13.39 	14.67 	16.19 	16.26 	: 	: 	: 	: 	: 
A,C-E,PPS,ES	: 	17.71 	17.72 	17.87 	17.96 	18.25 	16.96 	18.01 	18.16 	18.39 	19.03 	19.67 	20.14 	: 
A,C-E,PPS,FI	: 	15.81 	16.12 	16.46 	17.28 	18.30 	19.05 	20.46 	20.85 	21.67 	22.94 	23.76 	24.88 	25.75 
A,C-E,PPS,FR	: 	19.51 	20.83 	21.50 	22.39 	24.21 	25.71 	26.78 	25.88 	26.80 	28.09 	28.99 	30.04 	29.89 
A,C-E,PPS,HU	: 	6.61 	6.86 	6.74 	6.83 	7.63 	7.77 	8.56 	8.74 	9.09 	9.63 	10.26 	10.65 	: 
A,C-E,PPS,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.18 	: 	: 
A,C-E,PPS,IT	: 	: 	: 	: 	: 	19.12 	19.09 	19.19 	: 	: 	: 	: 	: 	: 
A,C-E,PPS,LT	: 	3.77 	4.23 	4.48 	4.97 	5.09 	5.20 	5.49 	5.88 	5.79 	6.26 	7.02 	8.17 	: 
A,C-E,PPS,LU	: 	20.51 	20.63 	21.37 	22.26 	22.78 	22.66 	23.96 	24.52 	27.60 	26.41 	27.33 	27.29 	27.38 
A,C-E,PPS,LV	: 	: 	3.52 	3.63 	3.77 	3.83 	3.96 	4.29 	4.41 	4.54 	4.89 	5.60 	6.60 	7.14 
A,C-E,PPS,MT	: 	: 	: 	: 	: 	: 	: 	9.73 	10.65 	10.81 	11.29 	12.30 	12.34 	: 
